"Site","Solute","TN_Cor","Ratio_Cor","Value","Var","SD"
"Lower-Miss","NH3_N",NA,NA,-14204.4117647059,195946138.096964,13998.0762284309
"Lower-Miss","NO23_N",NA,NA,37827.7777777778,7886649411.78175,88806.8094899358
"Lower-Miss","NO23_TN",NA,0,-0.293663269058427,-1717.22371107098,NA
"Lower-Miss","NO23_TN",NA,1,-0.293663269058427,-1847.83629319873,NA
"Lower-Miss","OrthoP_P",NA,NA,8582.85714285714,12718841.1854135,3566.34843858722
"Lower-Miss","OrthoP_TP",NA,0,0.708663569734773,3.93957469071147,1.98483618737453
"Lower-Miss","OrthoP_TP",NA,1,0.708663569734773,2.74868718087835,1.65791651806668
"Lower-Miss","Si_TN",NA,0,0.783827715146929,-26924.8231906153,NA
"Lower-Miss","Si_TN",NA,1,0.783827715146929,-27577.3128608901,NA
"Lower-Miss","SiO2",NA,NA,609219.473684211,77283689619.3947,277999.441760941
"Lower-Miss","TKN_N",NA,NA,4956.38888888889,3175991925.33585,56355.939574599
"Lower-Miss","TN_N",NA,NA,44505.1428571429,19061908785.378,138064.871655965
"Lower-Miss","TN_TP",NA,0,2.4380092033189,-178.264230275334,NA
"Lower-Miss","TN_TP",NA,1,2.4380092033189,-300.95237902851,NA
"Lower-Miss","TP_P",NA,NA,12747.5675675676,207627156.221426,14409.2732718005
"Lower-Miss","TP_Si",NA,0,-1.49168894288159,-68851.6335986005,NA
"Lower-Miss","TP_Si",NA,1,-1.49168894288159,-69041.3164807078,NA
"Upper-Miss","NH3_N",NA,NA,17725.9459459459,103988890.387444,10197.494319069
"Upper-Miss","NO23_N",NA,NA,410297.297297297,3394445243.39986,58261.867833085
"Upper-Miss","NO23_TN",NA,0,0.699064989617248,0.0240899408134517,0.15520934512281
"Upper-Miss","NO23_TN",NA,1,0.699064989617248,0.000358365963345244,0.0189305563400879
"Upper-Miss","OrthoP_P",NA,NA,15395.6,2027087.45907966,1423.75821650997
"Upper-Miss","OrthoP_TP",NA,0,0.370809602215297,0.0368462709232064,0.191953824976754
"Upper-Miss","OrthoP_TP",NA,1,0.370809602215297,0.0216977079467952,0.147301418685616
"Upper-Miss","Si_TN",NA,0,1.95471051211584,0.0618020750233424,0.248600231342093
"Upper-Miss","Si_TN",NA,1,1.95471051211584,0.00373935730697321,0.0611502846025528
"Upper-Miss","SiO2",NA,NA,1153678.57142857,25031057541.9209,158212.065095937
"Upper-Miss","TKN_N",NA,NA,175305.405405405,1244080810.38317,35271.5297426007
"Upper-Miss","TN_N",NA,NA,584594.594594595,8199893718.59577,90553.2645385895
"Upper-Miss","TN_TP",NA,0,14.9487362462754,1.48263531544365,1.21763513231331
"Upper-Miss","TN_TP",NA,1,14.9487362462754,0.474141696645916,0.6885794773633
"Upper-Miss","TP_P",NA,NA,42418.9189189189,74477040.8792866,8630.00816217961
"Upper-Miss","TP_Si",NA,0,0.0406703342905469,0.0024317815211802,0.049313096852461
"Upper-Miss","TP_Si",NA,1,0.0406703342905469,0.000619950367790507,0.0248988025372809
"OH-TN","NH3_N",NA,NA,14694.0540540541,12254506.765636,3500.64376445761
"OH-TN","NO23_N",NA,NA,323810.810810811,1191815668.0861,34522.6833847849
"OH-TN","NO23_TN",NA,0,0.65479042925192,0.0112417138129753,0.106026948522417
"OH-TN","NO23_TN",NA,1,0.65479042925192,9.91501002241299e-05,0.00995741433426017
"OH-TN","OrthoP_P",NA,NA,11424.4117647059,3307379.20733875,1818.62013827483
"OH-TN","OrthoP_TP",NA,0,0.268915830076477,0.00951165348587608,0.0975277062473843
"OH-TN","OrthoP_TP",NA,1,0.268915830076477,0.00124336579875855,0.0352613924676629
"OH-TN","Si_TN",NA,0,2.75475156423446,0.0355894468643976,0.188651654814893
"OH-TN","Si_TN",NA,1,2.75475156423446,0.00196421698355035,0.0443194876273446
"OH-TN","SiO2",NA,NA,1350891.89189189,11904240233.5021,109106.554493771
"OH-TN","TKN_N",NA,NA,170140.540540541,253923434.9368,15934.9752097956
"OH-TN","TN_N",NA,NA,494297.297297297,2396786178.15868,48956.9829356209
"OH-TN","TN_TP",NA,0,11.4134996895831,0.246577160415056,0.496565363688464
"OH-TN","TN_TP",NA,1,11.4134996895831,0.0150017283861452,0.1224815430428
"OH-TN","TP_P",NA,NA,46067.5675675676,20812001.2936908,4562.01723952144
"OH-TN","TP_Si",NA,0,0.0341548294501013,0.000512928712751048,0.0226479295466726
"OH-TN","TP_Si",NA,1,0.0341548294501013,8.52866309821448e-05,0.00923507612216298
"MO-5","NH3_N",NA,NA,4713.24324324324,8033351.43676234,2834.31674954694
"MO-5","NO23_N",NA,NA,124632.432432432,381069652.62584,19521.0054204654
"MO-5","NO23_TN",NA,0,0.518566842390928,0.0182906626359608,0.135242976290678
"MO-5","NO23_TN",NA,1,0.518566842390928,0.000367719144549681,0.0191760043948076
"MO-5","OrthoP_P",NA,NA,7306.17647058824,321775.160715744,567.252290181136
"MO-5","OrthoP_TP",NA,0,0.237232707940167,0.00462179474479868,0.0679837829544567
"MO-5","OrthoP_TP",NA,1,0.237232707940167,0.00103568169462132,0.0321820088655342
"MO-5","Si_TN",NA,0,3.81182188953199,0.0738682263518927,0.271787097471335
"MO-5","Si_TN",NA,1,3.81182188953199,0.0263857316362057,0.162436854304082
"MO-5","SiO2",NA,NA,839054.054054054,2220755079.61523,47124.8881124956
"MO-5","TKN_N",NA,NA,113783.783783784,398061068.483977,19951.467827806
"MO-5","TN_N",NA,NA,238654.054054054,1458811540.36342,38194.3914778522
"MO-5","TN_TP",NA,0,7.37858971834521,0.259033507299415,0.508953344914261
"MO-5","TN_TP",NA,1,7.37858971834521,0.0128736402852937,0.113462065402027
"MO-5","TP_P",NA,NA,34490.2702702703,27876266.4727407,5279.79795756814
"MO-5","TP_Si",NA,0,0.0406367877223426,0.000820663827207145,0.0286472307074723
"MO-5","TP_Si",NA,1,0.0406367877223426,0.000334483472276509,0.0182888893122712
"Ark-Red","NH3_N",NA,NA,4226.94444444444,579895.806538567,761.508901155178
"Ark-Red","NO23_N",NA,NA,31605,46192741.2155315,6796.52420105538
"Ark-Red","NO23_TN",NA,0,0.364183739652095,0.0169448702766885,0.130172463588458
"Ark-Red","NO23_TN",NA,1,0.364183739652095,0.00256232512580317,0.0506194145146225
"Ark-Red","OrthoP_P",NA,NA,4830.68181818182,1284005.78003702,1133.13978839198
"Ark-Red","OrthoP_TP",NA,0,0.436852714805049,0.0187126107906191,0.136794045157745
"Ark-Red","OrthoP_TP",NA,1,0.436852714805049,0.00307112253832559,0.0554177096091637
"Ark-Red","Si_TN",NA,0,6.0141085518799,0.216945509407716,0.465774096969461
"Ark-Red","Si_TN",NA,1,6.0141085518799,0.0204301575513728,0.142934102128823
"Ark-Red","SiO2",NA,NA,536586.206896552,11929109011.3007,109220.460589125
"Ark-Red","TKN_N",NA,NA,51821.6216216216,19153407.7186157,4376.46063830302
"Ark-Red","TN_N",NA,NA,83683.3333333333,116349028.02869,10786.5206637122
"Ark-Red","TN_TP",NA,0,8.38212254435435,0.173097500796686,0.416049877775113
"Ark-Red","TN_TP",NA,1,8.38212254435435,0.0149192146457901,0.122144237055172
"Ark-Red","TP_P",NA,NA,10562.4324324324,1754476.52543273,1324.56654247068
"Ark-Red","TP_Si",NA,0,0.0226706257506259,0.000630811233092192,0.0251159557471379
"Ark-Red","TP_Si",NA,1,0.0226706257506259,8.13580674874617e-05,0.00901987070236939
